192.168.1.112 - - [21/May/2016:17:14:08 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 106
192.168.1.112 - - [21/May/2016:17:14:09 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 103
192.168.1.112 - - [21/May/2016:17:14:10 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 106
192.168.1.112 - - [21/May/2016:17:14:11 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 105
192.168.1.112 - - [21/May/2016:17:14:12 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 106
192.168.1.112 - - [21/May/2016:17:14:13 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 108
192.168.1.112 - - [21/May/2016:17:14:14 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 108
192.168.1.112 - - [21/May/2016:17:14:15 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 108
192.168.1.112 - - [21/May/2016:17:14:16 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 107
192.168.1.112 - - [21/May/2016:17:14:17 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 103
192.168.1.112 - - [21/May/2016:17:14:18 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 107
192.168.1.112 - - [21/May/2016:17:14:19 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 107
192.168.1.112 - - [21/May/2016:17:14:30 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:14:33 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 39
192.168.1.112 - - [21/May/2016:17:14:34 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 39
192.168.1.112 - - [21/May/2016:17:14:35 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 103
192.168.1.112 - - [21/May/2016:17:14:36 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 102
192.168.1.112 - - [21/May/2016:17:14:37 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 128
192.168.1.112 - - [21/May/2016:17:14:38 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 128
192.168.1.112 - - [21/May/2016:17:14:39 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 127
192.168.1.112 - - [21/May/2016:17:14:40 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:14:40 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 126
192.168.1.112 - - [21/May/2016:17:14:41 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 124
192.168.1.112 - - [21/May/2016:17:14:42 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 125
192.168.1.112 - - [21/May/2016:17:14:43 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 121
192.168.1.112 - - [21/May/2016:17:14:44 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 125
192.168.1.112 - - [21/May/2016:17:14:45 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:14:45 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 129
192.168.1.112 - - [21/May/2016:17:14:46 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 130
192.168.1.112 - - [21/May/2016:17:14:47 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 125
192.168.1.112 - - [21/May/2016:17:14:48 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 129
192.168.1.112 - - [21/May/2016:17:14:49 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 132
192.168.1.112 - - [21/May/2016:17:14:50 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:14:50 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 131
192.168.1.112 - - [21/May/2016:17:14:51 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 130
192.168.1.112 - - [21/May/2016:17:14:52 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 128
192.168.1.112 - - [21/May/2016:17:14:53 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 126
192.168.1.112 - - [21/May/2016:17:14:54 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 129
192.168.1.112 - - [21/May/2016:17:14:55 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:14:55 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 129
192.168.1.112 - - [21/May/2016:17:14:56 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 130
192.168.1.112 - - [21/May/2016:17:14:57 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 130
192.168.1.112 - - [21/May/2016:17:14:58 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 129
192.168.1.112 - - [21/May/2016:17:14:59 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 130
192.168.1.112 - - [21/May/2016:17:15:00 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:15:00 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 130
192.168.1.112 - - [21/May/2016:17:15:01 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 130
192.168.1.112 - - [21/May/2016:17:15:02 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 125
192.168.1.112 - - [21/May/2016:17:15:03 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 129
192.168.1.112 - - [21/May/2016:17:15:04 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 127
192.168.1.112 - - [21/May/2016:17:15:05 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:15:05 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 128
192.168.1.112 - - [21/May/2016:17:15:06 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 127
192.168.1.112 - - [21/May/2016:17:15:07 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 130
192.168.1.112 - - [21/May/2016:17:15:08 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 130
192.168.1.112 - - [21/May/2016:17:15:09 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 130
192.168.1.112 - - [21/May/2016:17:15:10 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:15:10 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 130
192.168.1.112 - - [21/May/2016:17:15:11 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 129
192.168.1.112 - - [21/May/2016:17:15:12 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 131
192.168.1.112 - - [21/May/2016:17:15:13 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 131
192.168.1.112 - - [21/May/2016:17:15:14 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 131
192.168.1.112 - - [21/May/2016:17:15:15 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:17:15:15 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 130
192.168.1.112 - - [21/May/2016:17:15:16 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 131
192.168.1.112 - - [21/May/2016:17:15:17 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 129
192.168.1.112 - - [21/May/2016:17:15:18 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 132
